,CNTSCHID,Region,STRATUM,LANGTEST,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT
0,72400001,72413,ESP9028,156.0,private,2.0,1.2,75.0,,1.0,62.5,1.0,0.84,0.112,0.048,28.0,0.0,1.0283,1.0953,-0.6266,-0.1274,-0.1868,9.44357,796.01006,6.8583
1,72400002,72415,ESP1532,156.0,public,3.0,7.6379,443.0,0.7143,1.0,58.0,1.0,1.0,,,23.0,1.0,0.0686,0.43,0.5078,1.1612,0.9042,1.56862,121.29469,1.1392
2,72400003,72409,ESP9018,156.0,private,1.0,10.4452,1572.0,0.2604,1.0,150.5,1.0,1.0,0.1993,0.0199,23.0,1.0,-0.949,-0.5869,-2.0719,-1.419,0.9042,16.53833,1538.38583,12.0108
3,72400004,72406,ESP0611,156.0,public,3.0,12.6935,1574.0,0.0789,1.0,124.0,1.0,1.0,0.0161,0.0806,23.0,2.0,0.4292,0.2633,-0.6744,0.2266,0.1571,1.5447,80.31823,1.12182
4,72400005,72417,ESP9038,156.0,public,3.0,9.5074,965.0,0.6329,1.0,101.5,1.0,0.8867,0.0936,0.0296,28.0,1.0,2.1861,1.5598,0.2913,-0.9033,0.287,9.15181,975.57348,6.64641
5,72400006,72408,ESP0816,156.0,private,,18.8209,1261.0,0.5435,1.0,67.0,1.0,1.0,0.0299,0.0149,28.0,3.0,0.6191,0.6231,1.3545,1.2159,0.9042,4.30009,390.81228,3.1229
6,72400007,72417,ESP1738,156.0,public,3.0,8.6535,437.0,0.6579,1.0,50.5,,0.0396,,0.0,18.0,1.0,0.1,0.0055,-0.7293,0.2266,0.9042,11.49557,895.59942,8.34854
7,72400008,72412,ESP1224,156.0,private,,15.8904,580.0,1.1905,1.0,36.5,,,0.0548,0.0274,23.0,0.0,-1.4212,-1.4551,-2.0719,-2.0409,0.9042,1.0,28.11594,0.72624
8,72400009,72416,ESP9034,156.0,public,3.0,7.4228,553.0,0.8958,1.0,74.5,1.0,1.0,0.0,0.0,48.0,2.0,-1.4212,0.5116,0.8944,0.9028,-0.5083,1.0,53.88299,0.72624
9,72400010,72413,ESP9028,156.0,private,2.0,16.1212,532.0,0.6122,1.0,33.0,1.0,0.9091,0.0909,0.0303,33.0,2.0,-1.4212,-1.4551,-0.0956,-2.0409,0.9042,9.09381,316.52171,6.60429
10,72400011,72409,ESP0917,160.0,public,3.0,11.9497,950.0,0.3361,1.0,79.5,1.0,1.0,0.9748,0.0629,28.0,0.0,-0.6884,-0.0097,0.0645,-0.1459,0.9042,11.30273,1375.88172,8.2085
11,72400012,72416,ESP9035,156.0,public,3.0,7.7576,768.0,0.5102,1.0,99.0,1.0,1.0,0.0,0.0101,23.0,0.0,0.7566,0.6736,0.1795,0.6015,0.287,2.76879,330.75181,2.01081
12,72400013,72406,ESP0612,156.0,private,2.0,14.4029,1001.0,0.4545,0.9333,69.5,0.3022,,,0.0,28.0,0.0,-0.2376,0.6736,-0.3856,0.2266,0.1571,1.21475,74.6886,0.8822
13,72400014,72413,ESP9025,156.0,public,3.0,11.9667,718.0,0.4065,0.8,60.0,1.0,1.0,,,28.0,2.0,1.6863,2.1075,0.8544,1.6299,0.1571,2.736,346.24092,1.98699
14,72400015,72413,ESP9028,156.0,private,1.0,16.0842,764.0,0.425,1.0,47.5,1.0,1.0,0.0,0.0,18.0,1.0,-0.6483,-0.1776,-1.1976,-2.0409,0.9042,13.89808,654.30258,10.09335
15,72400016,72408,ESP9015,156.0,public,3.0,8.0,364.0,0.9259,0.7,45.5,1.0,1.0,1.0,0.0,18.0,2.0,1.2478,0.9088,-0.1692,0.2688,0.9042,5.89815,427.05197,4.28347
16,72400017,72416,ESP9036,156.0,private,2.0,,,,1.0,106.0,1.0,1.0,1.0,0.0189,33.0,1.0,-1.4212,-1.4551,-1.528,-0.3881,0.9042,1.46182,172.00966,1.06164
17,72400018,72403,ESP0305,156.0,public,3.0,8.325,333.0,2.25,1.0,40.0,1.0,0.9,0.775,0.0,18.0,1.0,1.7405,0.21,-0.2112,0.2397,0.9042,3.40741,127.13119,2.4746
18,72400019,72413,ESP9025,156.0,public,3.0,12.7723,645.0,0.4327,1.0,50.5,1.0,1.0,0.0,0.0198,28.0,1.0,1.7737,0.028,-0.4515,0.9355,0.9042,4.32,396.30603,3.13736
19,72400020,72409,ESP9018,160.0,private,1.0,15.6222,703.0,1.0,1.0,45.0,0.1,1.0,0.1444,0.0667,13.0,0.0,-1.4212,0.2633,-0.9558,0.2605,0.9042,35.43929,1076.63653,25.73743
20,72400021,72413,ESP9026,156.0,public,3.0,13.9206,877.0,0.4091,1.0,63.0,1.0,1.0,,,53.0,1.0,0.8006,1.5598,-0.0956,0.2266,-0.6263,5.59416,602.67988,4.0627
21,72400022,72405,ESP0510,156.0,private,2.0,3.2688,152.0,0.4934,1.0,46.5,,,0.0323,0.0215,33.0,1.0,0.4186,0.0055,-0.0384,0.2266,0.9042,2.49659,371.9916,1.81312
22,72400023,72408,ESP0815,156.0,public,3.0,11.2093,482.0,0.1829,1.0,43.0,1.0,0.0581,0.9419,0.0,28.0,1.0,2.9595,0.8371,0.1795,0.2266,0.9042,4.32074,373.76934,3.13789
23,72400024,72416,ESP9036,451.0,private,2.0,15.0303,744.0,1.0,1.0,49.5,1.0,1.0,1.0,0.0505,48.0,2.0,-0.4839,-1.4551,-3.3785,-2.0409,0.9042,3.28221,166.04241,2.38367
24,72400025,72410,ESP9020,156.0,private,2.0,13.9091,765.0,0.5517,1.0,55.0,1.0,0.4182,0.4273,0.0,53.0,1.0,-0.2723,0.4613,-0.0956,-1.2356,0.9042,3.45437,202.06459,2.5087
25,72400026,72404,ESP0407,160.0,public,3.0,7.7647,396.0,1.0,1.0,51.0,1.0,0.0784,0.902,0.0196,23.0,1.0,-1.4212,-1.4551,-0.1493,-0.0514,0.9042,3.99814,218.48401,2.90361
26,72400027,72409,ESP0917,160.0,public,3.0,8.3729,247.0,0.2364,1.0,29.5,1.0,1.0,1.0,0.0,28.0,1.0,1.4888,0.1757,-0.3662,-0.0127,-0.1764,27.72368,1445.16323,20.13404
27,72400028,72414,ESP1430,156.0,public,3.0,10.8784,805.0,0.4386,1.0,74.0,1.0,,,0.0541,28.0,3.0,-0.6884,0.1893,0.6482,-0.9138,-1.0542,2.86391,325.18491,2.07989
28,72400029,72406,ESP9011,156.0,public,3.0,9.8658,735.0,1.0,1.0,74.5,0.953,0.8993,,0.0268,23.0,1.0,1.2478,0.9995,0.2268,-0.7634,0.9042,1.73779,112.58577,1.26205
29,72400030,72413,ESP9027,156.0,private,2.0,14.7092,1037.0,0.8065,1.0,70.5,,,,0.0426,23.0,2.0,-0.4562,0.7626,-2.0719,0.9977,0.9042,1.0,63.1776,0.72624
30,72400031,72401,ESP9001,156.0,public,3.0,10.64,665.0,0.6494,1.0,62.5,1.0,,,,28.0,3.0,-1.4212,-1.4551,1.0891,-2.0409,0.9042,14.74713,1653.63831,10.70995
31,72400032,72411,ESP1121,474.0,public,3.0,7.0857,124.0,1.25,1.0,17.5,1.0,1.0,1.0,0.0,23.0,2.0,0.1,-0.0963,-0.4097,-0.1274,0.9042,9.46756,309.64489,6.87572
32,72400033,72413,ESP9029,156.0,private,1.0,13.219,1811.0,0.5376,1.0,137.0,1.0,0.2555,0.0803,0.0,53.0,3.0,-1.4212,-1.4551,-1.1906,-0.9138,0.9042,2.37113,217.72394,1.72201
33,72400034,72416,ESP9037,451.0,private,2.0,16.949,1661.0,1.0,1.0,98.0,,,,,53.0,0.0,-0.4907,-0.1776,-0.9148,-1.2356,-0.1868,1.48113,158.55223,1.07566
34,72400035,72403,ESP0305,156.0,public,3.0,6.6724,387.0,0.5738,1.0,58.0,1.0,0.0,,0.0517,18.0,0.0,-1.4212,0.5116,0.4147,0.2266,-0.1868,2.55556,138.64371,1.85595
35,72400036,72414,ESP1430,156.0,public,3.0,9.5102,233.0,0.566,1.0,24.5,1.0,1.0,1.0,0.0408,23.0,2.0,0.8339,1.872,0.6482,1.189,-1.0542,7.25524,286.03892,5.26904
36,72400037,72406,ESP0611,156.0,public,3.0,8.2857,725.0,0.2031,1.0,87.5,0.9657,,,,23.0,1.0,0.4292,0.592,0.6949,0.8378,0.9042,1.0,126.92621,0.72624
